# ADC channel: 0  gain: 100x  conv_time_us: 2602.8645  fs_Hz: 384.1921  dac_voltage_V: 0.05
# freq_Hz  psd_bg_V2perHz  psd_sig_V2perHz  psd_subtracted_V2perHz
2.77638828e+01 4.88542576e-13 2.10464556e-11 2.05579131e-11
2.81390704e+01 4.54620032e-13 1.78410997e-11 1.73864796e-11
2.85142580e+01 5.15862923e-13 2.49619346e-11 2.44460717e-11
2.88894456e+01 5.58009660e-13 2.56086505e-11 2.50506408e-11
2.92646332e+01 6.19400929e-13 2.04287002e-11 1.98092993e-11
2.96398208e+01 6.03883323e-13 2.10189995e-11 2.04151162e-11
3.00150084e+01 5.63680019e-13 2.69819756e-11 2.64182956e-11
3.03901960e+01 5.92409997e-13 2.84976123e-11 2.79052023e-11
3.07653837e+01 6.21102202e-13 2.78554907e-11 2.72343885e-11
3.11405713e+01 5.26070348e-13 2.95773037e-11 2.90512334e-11
3.15157589e+01 5.17413386e-13 2.84036308e-11 2.78862174e-11
3.18909465e+01 5.20188669e-13 2.48576556e-11 2.43374669e-11
3.22661341e+01 5.13026501e-13 2.05205235e-11 2.00074970e-11
3.26413217e+01 4.62498839e-13 2.46803168e-11 2.42178180e-11
3.30165093e+01 4.37982147e-13 3.51988620e-11 3.47608799e-11
3.33916969e+01 4.92733187e-13 2.81659895e-11 2.76732563e-11
3.37668845e+01 5.51605753e-13 2.18544626e-11 2.13028568e-11
3.41420721e+01 5.26060086e-13 2.27648163e-11 2.22387562e-11
3.45172597e+01 4.54072678e-13 2.62378985e-11 2.57838258e-11
3.48924473e+01 4.39295499e-13 2.26130775e-11 2.21737820e-11
3.52676349e+01 4.30982215e-13 2.40048842e-11 2.35739020e-11
3.56428225e+01 5.04865276e-13 2.77425562e-11 2.72376909e-11
3.60180101e+01 4.77054148e-13 2.78754597e-11 2.73984055e-11
3.63931977e+01 5.25331302e-13 2.66816467e-11 2.61563154e-11
3.67683853e+01 6.62774300e-13 2.54737400e-11 2.48109657e-11
3.71435729e+01 5.64321933e-13 2.53642750e-11 2.47999530e-11
3.75187606e+01 4.45752573e-13 2.29386415e-11 2.24928889e-11
3.78939482e+01 4.81303125e-13 2.13782905e-11 2.08969874e-11
3.82691358e+01 4.36830203e-13 2.24312252e-11 2.19943950e-11
3.86443234e+01 4.41620880e-13 2.61933784e-11 2.57517575e-11
3.90195110e+01 4.74072845e-13 3.05129077e-11 3.00388349e-11
3.93946986e+01 5.49636029e-13 2.99494407e-11 2.93998046e-11
3.97698862e+01 4.86143673e-13 2.36887161e-11 2.32025725e-11
4.01450738e+01 4.37198032e-13 2.20234241e-11 2.15862261e-11
4.05202614e+01 4.15595798e-13 2.50471528e-11 2.46315570e-11
4.08954490e+01 4.18359604e-13 2.40663037e-11 2.36479441e-11
4.12706366e+01 5.07812171e-13 2.65005961e-11 2.59927840e-11
4.16458242e+01 4.58611734e-13 3.19736424e-11 3.15150306e-11
4.20210118e+01 5.20236018e-13 2.67663595e-11 2.62461235e-11
4.23961994e+01 4.75838655e-13 2.45536141e-11 2.40777755e-11
4.27713870e+01 4.87226835e-13 2.40331761e-11 2.35459493e-11
4.31465746e+01 5.02256903e-13 3.11747795e-11 3.06725226e-11
4.35217622e+01 5.38415982e-13 2.98379430e-11 2.92995271e-11
