# ADC channel: 0  gain: 100x  conv_time_us: 2602.8645  fs_Hz: 384.1921
# background_V  signal_V
-4.26709699e-03 4.98969889e+00
-4.25875233e-03 4.98986101e+00
-4.26471280e-03 4.98971319e+00
-4.26113652e-03 4.98967505e+00
-4.25159978e-03 4.98991442e+00
-4.26709699e-03 4.98986912e+00
-4.24921559e-03 4.98974991e+00
-4.25636815e-03 4.98980618e+00
-4.25875233e-03 4.98982143e+00
-4.25875233e-03 4.98969030e+00
-4.23610257e-03 4.98992777e+00
-4.25517606e-03 4.98979902e+00
-4.25756024e-03 4.98970366e+00
-4.25159978e-03 4.98980141e+00
-4.25040768e-03 4.98980713e+00
-4.24325513e-03 4.98980951e+00
-4.25756024e-03 4.98982859e+00
-4.25398396e-03 4.98982143e+00
-4.26828908e-03 4.98976564e+00
-4.26828908e-03 4.98972988e+00
-4.26232861e-03 4.98978949e+00
-4.23729466e-03 4.98973703e+00
-4.25875233e-03 4.98975229e+00
-4.27544164e-03 4.98985386e+00
-4.26113652e-03 4.98986340e+00
-4.27424954e-03 4.98996830e+00
-4.26232861e-03 4.98975468e+00
-4.23967885e-03 4.98980856e+00
-4.25994443e-03 4.98976564e+00
-4.24206303e-03 4.98977375e+00
-4.25159978e-03 4.98984528e+00
-4.27186536e-03 4.98993969e+00
-4.26113652e-03 4.98982763e+00
-4.25636815e-03 4.98983240e+00
-4.25636815e-03 4.98986912e+00
-4.24921559e-03 4.98972511e+00
-4.25279187e-03 4.98982048e+00
-4.26113652e-03 4.98987865e+00
-4.23967885e-03 4.98984432e+00
-4.25279187e-03 4.98988342e+00
-4.27305745e-03 4.98972273e+00
-4.25159978e-03 4.98978567e+00
-4.24563931e-03 4.98977137e+00
-4.25159978e-03 4.98978806e+00
-4.25517606e-03 4.98981190e+00
-4.22895001e-03 4.98979521e+00
-4.26232861e-03 4.98982143e+00
-4.26113652e-03 4.98982763e+00
-4.25756024e-03 4.98977757e+00
-4.23848676e-03 4.98981571e+00
-4.27186536e-03 4.98992634e+00
-4.26471280e-03 4.98982859e+00
-4.26352071e-03 4.98971415e+00
-4.26948117e-03 4.98979425e+00
-4.26709699e-03 4.98982286e+00
-4.24921559e-03 4.98981094e+00
-4.25398396e-03 4.98984671e+00
-4.25756024e-03 4.98981810e+00
-4.25159978e-03 4.98976803e+00
-4.25040768e-03 4.98984909e+00
-4.25040768e-03 4.98985147e+00
-4.26352071e-03 4.98986197e+00
-4.26948117e-03 4.98990250e+00
-4.25040768e-03 4.98983479e+00
-4.23848676e-03 4.98978806e+00
-4.26113652e-03 4.98981667e+00
-4.26352071e-03 4.98970604e+00
-4.25636815e-03 4.98994780e+00
-4.25040768e-03 4.98995495e+00
-4.25636815e-03 4.98994684e+00
-4.25875233e-03 4.98992062e+00
-4.25517606e-03 4.98984766e+00
-4.27067326e-03 4.98980856e+00
-4.25040768e-03 4.98981810e+00
-4.26590489e-03 4.98989201e+00
-4.23133420e-03 4.98983479e+00
-4.24444722e-03 4.98988485e+00
-4.23848676e-03 4.98996210e+00
-4.24563931e-03 4.98986673e+00
-4.26709699e-03 4.98976326e+00
-4.25517606e-03 4.98979282e+00
-4.25517606e-03 4.98973560e+00
-4.27186536e-03 4.98982763e+00
-4.25756024e-03 4.98982859e+00
-4.24444722e-03 4.98969030e+00
-4.25279187e-03 4.98991203e+00
-4.25398396e-03 4.98983955e+00
-4.26352071e-03 4.98979664e+00
-4.26709699e-03 4.98996830e+00
-4.26352071e-03 4.98985958e+00
-4.24683141e-03 4.98977757e+00
-4.26232861e-03 4.98990011e+00
-4.23967885e-03 4.98981667e+00
-4.24325513e-03 4.98985386e+00
-4.26352071e-03 4.98988342e+00
-4.25040768e-03 4.98983002e+00
-4.26948117e-03 4.98979759e+00
-4.24444722e-03 4.98993731e+00
-4.25279187e-03 4.98988724e+00
-4.26709699e-03 4.98994303e+00
-4.26232861e-03 4.98973703e+00
-4.25636815e-03 4.98973227e+00
-4.25636815e-03 4.98979759e+00
-4.24921559e-03 4.98999929e+00
-4.26113652e-03 4.98983812e+00
-4.26232861e-03 4.98982525e+00
-4.26471280e-03 4.98980713e+00
-4.25517606e-03 4.98995256e+00
-4.24921559e-03 4.98985386e+00
-4.26352071e-03 4.98991680e+00
-4.25994443e-03 4.98999929e+00
-4.26709699e-03 4.98990250e+00
-4.25279187e-03 4.98982382e+00
-4.26471280e-03 4.98991108e+00
-4.25159978e-03 4.98980951e+00
-4.24325513e-03 4.98983479e+00
-4.27544164e-03 4.98978090e+00
-4.25756024e-03 4.98998117e+00
-4.25040768e-03 4.99000883e+00
-4.26352071e-03 4.98991919e+00
-4.24444722e-03 4.98976564e+00
-4.27305745e-03 4.98982620e+00
-4.26471280e-03 4.98994541e+00
-4.25994443e-03 4.98986912e+00
-4.25994443e-03 4.98988008e+00
-4.24444722e-03 4.98982048e+00
-4.23252629e-03 4.98980141e+00
-4.26352071e-03 4.98982525e+00
-4.23967885e-03 4.99000406e+00
-4.25994443e-03 4.98997307e+00
-4.26113652e-03 4.98985863e+00
-4.24802350e-03 4.98977280e+00
-4.26113652e-03 4.98982763e+00
-4.24683141e-03 4.98985004e+00
-4.24921559e-03 4.99002552e+00
-4.25875233e-03 4.98971176e+00
-4.25279187e-03 4.98986912e+00
-4.24802350e-03 4.98994207e+00
-4.26352071e-03 4.98989296e+00
-4.24206303e-03 4.98991346e+00
-4.23491048e-03 4.98980856e+00
-4.23133420e-03 4.98986578e+00
-4.25040768e-03 4.98992300e+00
-4.26709699e-03 4.98981905e+00
-4.25279187e-03 4.98984528e+00
-4.25517606e-03 4.98984051e+00
-4.24921559e-03 4.98996210e+00
-4.25517606e-03 4.98984194e+00
-4.24087094e-03 4.98991823e+00
-4.28259419e-03 4.98987055e+00
-4.24802350e-03 4.98984909e+00
-4.27305745e-03 4.98995399e+00
-4.24325513e-03 4.98995399e+00
-4.23848676e-03 4.98986435e+00
-4.27901791e-03 4.98992538e+00
-4.25159978e-03 4.98986816e+00
-4.26590489e-03 4.98994303e+00
-4.27663373e-03 4.98991203e+00
-4.24087094e-03 4.98987532e+00
-4.25517606e-03 4.98995018e+00
-4.25040768e-03 4.99007559e+00
-4.25159978e-03 4.98988724e+00
-4.26471280e-03 4.98992538e+00
-4.27544164e-03 4.98994207e+00
-4.25279187e-03 4.98984766e+00
-4.26590489e-03 4.98981667e+00
-4.25398396e-03 4.98970222e+00
-4.25398396e-03 4.98984289e+00
-4.27305745e-03 4.98990965e+00
-4.26352071e-03 4.98990393e+00
-4.26113652e-03 4.98986912e+00
-4.27663373e-03 4.98992062e+00
-4.25636815e-03 4.98979902e+00
-4.23848676e-03 4.98988342e+00
-4.25398396e-03 4.98995972e+00
-4.26352071e-03 4.98990250e+00
-4.25279187e-03 4.98993015e+00
-4.25040768e-03 4.98983479e+00
-4.26828908e-03 4.98995638e+00
-4.25159978e-03 4.98990870e+00
-4.27186536e-03 4.98984432e+00
-4.26471280e-03 4.98979902e+00
-4.27544164e-03 4.98990870e+00
-4.26113652e-03 4.98984432e+00
-4.25994443e-03 4.98998356e+00
-4.24802350e-03 4.98991823e+00
-4.25517606e-03 4.98990631e+00
-4.25279187e-03 4.99006128e+00
-4.25994443e-03 4.98998976e+00
-4.26232861e-03 4.98990393e+00
-4.25040768e-03 4.98995495e+00
-4.27067326e-03 4.98986673e+00
-4.24921559e-03 4.98986435e+00
-4.25159978e-03 4.98999453e+00
-4.26828908e-03 4.98983955e+00
-4.26352071e-03 4.99001217e+00
-4.25875233e-03 4.98996592e+00
-4.26590489e-03 4.98995876e+00
-4.24802350e-03 4.99003124e+00
-4.25040768e-03 4.98996449e+00
-4.26709699e-03 4.98994446e+00
-4.25517606e-03 4.98982859e+00
-4.26709699e-03 4.98999691e+00
-4.24325513e-03 4.98996115e+00
-4.25159978e-03 4.99001217e+00
-4.26113652e-03 4.99000883e+00
-4.26471280e-03 4.98978710e+00
-4.27663373e-03 4.99009943e+00
-4.26471280e-03 4.99000978e+00
-4.25279187e-03 4.98985863e+00
-4.26471280e-03 4.98987389e+00
-4.26352071e-03 4.98993015e+00
-4.26948117e-03 4.98990726e+00
-4.26471280e-03 4.98996830e+00
-4.26113652e-03 4.98983240e+00
-4.26232861e-03 4.98993111e+00
-4.25875233e-03 4.98997545e+00
-4.25517606e-03 4.98994541e+00
-4.25994443e-03 4.98996449e+00
-4.23610257e-03 4.98993015e+00
-4.23491048e-03 4.99006701e+00
-4.27067326e-03 4.98988724e+00
-4.25756024e-03 4.98986578e+00
-4.26232861e-03 4.98992300e+00
-4.25279187e-03 4.99001360e+00
-4.25875233e-03 4.99009085e+00
-4.25040768e-03 4.98988724e+00
-4.25517606e-03 4.99000168e+00
-4.26948117e-03 4.99012327e+00
-4.27424954e-03 4.98990965e+00
-4.25040768e-03 4.98999214e+00
-4.26113652e-03 4.98995161e+00
-4.25756024e-03 4.98984289e+00
-4.27424954e-03 4.99003983e+00
-4.25994443e-03 4.98998976e+00
-4.26352071e-03 4.99010181e+00
-4.24563931e-03 4.98995018e+00
-4.25040768e-03 4.99002552e+00
-4.25517606e-03 4.98994064e+00
-4.25636815e-03 4.98997402e+00
-4.25517606e-03 4.99000740e+00
-4.26113652e-03 4.99001598e+00
-4.24206303e-03 4.98998594e+00
-4.25756024e-03 4.98991823e+00
-4.25756024e-03 4.99007416e+00
-4.25517606e-03 4.99005413e+00
-4.24444722e-03 4.98997068e+00
-4.24563931e-03 4.99002171e+00
-4.25756024e-03 4.98992157e+00
-4.24563931e-03 4.98998737e+00
-4.27424954e-03 4.98994064e+00
-4.24683141e-03 4.99006939e+00
-4.23133420e-03 4.98997545e+00
-4.26948117e-03 4.99001837e+00
-4.24444722e-03 4.99014807e+00
-4.25517606e-03 4.99000406e+00
-4.25159978e-03 4.98998833e+00
-4.25040768e-03 4.99011612e+00
-4.26352071e-03 4.98985958e+00
-4.24563931e-03 4.98991823e+00
-4.25756024e-03 4.99000978e+00
-4.26590489e-03 4.98992538e+00
-4.22060536e-03 4.99000883e+00
-4.25398396e-03 4.99001455e+00
-4.24563931e-03 4.98993349e+00
-4.25875233e-03 4.99008369e+00
-4.26948117e-03 4.98994780e+00
-4.25279187e-03 4.98988724e+00
-4.24921559e-03 4.98995018e+00
-4.26232861e-03 4.98998022e+00
-4.25517606e-03 4.98993254e+00
-4.26828908e-03 4.98984432e+00
-4.26352071e-03 4.99001217e+00
-4.24921559e-03 4.98996925e+00
-4.24921559e-03 4.99000645e+00
-4.25756024e-03 4.98991442e+00
