# DAC port 4 set to 10.0 V
# DMM: Agilent 34401A, 6 NPLC
# Start: 2026-06-22T20:53:06.006599
# time_s	voltage_V
0.390736	0.009994629
0.741554	0.009994628
1.091365	0.009994637
1.441320	0.009994645
1.790730	0.009994653
2.140180	0.009994637
2.489744	0.009994652
2.839412	0.009994648
3.188322	0.009994665
3.537601	0.009994652
3.887243	0.009994638
4.237024	0.009994646
4.586543	0.009994648
4.936491	0.009994652
5.285597	0.009994638
5.635309	0.009994629
5.985076	0.009994631
6.334447	0.009994633
6.684109	0.009994642
7.033563	0.009994644
7.383330	0.009994644
7.732873	0.009994644
8.082623	0.009994641
8.433003	0.009994662
8.783107	0.009994653
9.132759	0.009994653
9.481954	0.009994653
9.832057	0.009994652
10.182228	0.009994636
10.531987	0.009994655
10.881841	0.009994661
11.231711	0.009994653
11.581840	0.009994654
11.931848	0.009994671
12.281663	0.009994644
12.632070	0.009994655
12.982606	0.009994653
13.332003	0.009994669
13.682145	0.009994661
14.032302	0.009994667
14.382193	0.009994674
14.732005	0.009994666
15.082049	0.009994688
15.431771	0.009994671
15.781360	0.009994675
16.130959	0.009994677
16.480900	0.009994688
16.830987	0.009994669
17.180146	0.009994671
17.529771	0.009994682
17.879159	0.009994674
18.228298	0.009994684
18.578039	0.009994691
18.927749	0.009994679
19.277651	0.009994691
19.627709	0.009994701
19.977646	0.009994683
20.327683	0.009994686
20.677847	0.009994700
21.028242	0.009994683
21.377936	0.009994703
21.770883	0.009994713
22.120625	0.009994712
22.470364	0.009994714
22.820842	0.009994699
23.170613	0.009994700
23.520084	0.009994712
23.869743	0.009994703
24.219414	0.009994707
24.568995	0.009994730
24.918837	0.009994722
25.268367	0.009994728
25.618021	0.009994721
25.967770	0.009994741
26.317103	0.009994729
26.667239	0.009994720
27.017202	0.009994741
27.366448	0.009994724
27.715485	0.009994700
28.064936	0.009994712
28.414724	0.009994680
28.763579	0.009994700
29.113172	0.009994698
29.462195	0.009994713
29.811443	0.009994692
30.161029	0.009994704
30.510540	0.009994712
30.860002	0.009994704
31.210208	0.009994711
31.560055	0.009994696
31.909769	0.009994704
32.260407	0.009994703
32.610439	0.009994709
32.960345	0.009994695
33.310599	0.009994692
33.660526	0.009994701
34.010104	0.009994686
34.359957	0.009994687
34.709351	0.009994686
35.059100	0.009994707
35.408247	0.009994698
35.757733	0.009994701
36.106897	0.009994687
36.456450	0.009994687
36.805791	0.009994687
37.155506	0.009994688
37.505392	0.009994663
37.854887	0.009994711
38.204281	0.009994696
38.553514	0.009994686
38.903679	0.009994684
39.253250	0.009994694
39.602765	0.009994686
39.952354	0.009994691
40.302009	0.009994708
40.651972	0.009994678
41.001620	0.009994701
41.351766	0.009994683
41.701204	0.009994692
42.050107	0.009994707
42.399789	0.009994696
42.749398	0.009994701
43.099858	0.009994692
43.449343	0.009994690
43.799015	0.009994687
44.148938	0.009994696
44.498736	0.009994687
44.847725	0.009994709
45.197289	0.009994700
45.546784	0.009994712
45.896146	0.009994692
46.245772	0.009994683
46.595224	0.009994694
46.944469	0.009994694
47.293534	0.009994708
47.642958	0.009994707
47.992232	0.009994711
48.341580	0.009994718
48.691227	0.009994728
49.041205	0.009994714
49.390488	0.009994717
49.740172	0.009994705
50.090004	0.009994707
50.439528	0.009994722
50.788640	0.009994721
51.138456	0.009994712
51.487856	0.009994733
51.837286	0.009994714
52.187455	0.009994720
52.537204	0.009994737
52.886652	0.009994707
53.236552	0.009994704
53.585991	0.009994716
53.935465	0.009994713
