# DAC port 3 set to 1.0 V
# DMM: Agilent 34401A, 6 NPLC
# Start: 2026-06-21T23:56:46.710502
# time_s	voltage_V
0.388428	1.000044200
0.739442	1.000042500
1.089609	1.000043300
1.438832	1.000042900
1.788931	1.000043000
2.138990	1.000043900
2.488232	1.000043000
2.837883	1.000043000
3.187060	1.000042500
3.535493	1.000041000
3.885435	1.000041400
4.236031	1.000042300
4.585330	1.000042900
4.935773	1.000042300
5.285682	1.000041300
5.635597	1.000042900
5.986213	1.000041400
6.336926	1.000041800
6.686558	1.000041500
7.035695	1.000043100
7.385794	1.000042900
7.736884	1.000041700
8.088636	1.000042500
8.439226	1.000041500
8.790353	1.000042200
9.141281	1.000042200
9.490310	1.000040300
9.839705	1.000041400
10.190671	1.000042700
10.541559	1.000041100
10.892698	1.000041300
11.244398	1.000042100
11.594441	1.000041000
11.944840	1.000041400
12.296433	1.000041500
12.647637	1.000040500
13.000137	1.000041300
13.351245	1.000041300
13.702552	1.000042300
14.053900	1.000042200
14.404744	1.000042200
14.755998	1.000040600
15.107038	1.000041100
15.458357	1.000040900
15.809085	1.000041700
16.159488	1.000041100
16.510359	1.000041800
16.861569	1.000040600
17.211244	1.000041400
17.561609	1.000040200
17.912767	1.000040600
18.264550	1.000040900
18.616726	1.000041900
18.968505	1.000041900
19.319494	1.000042100
19.670265	1.000042600
20.022067	1.000042200
20.371825	1.000044500
20.721297	1.000043100
21.071963	1.000044100
21.422532	1.000045100
21.772875	1.000043400
22.124031	1.000045000
22.474976	1.000044100
22.826202	1.000043500
23.177713	1.000044300
23.528950	1.000043800
23.880159	1.000043900
24.231770	1.000043400
24.583298	1.000043500
24.935092	1.000042700
25.286393	1.000043100
25.637212	1.000042700
25.987967	1.000043400
26.338375	1.000041700
26.689472	1.000043300
27.039688	1.000042100
27.389385	1.000043100
27.738693	1.000042600
28.088748	1.000042600
28.439774	1.000045100
28.790526	1.000042900
29.142119	1.000042900
29.493336	1.000042100
29.844536	1.000043400
30.195774	1.000042300
30.546334	1.000042900
30.897653	1.000042100
31.248717	1.000042300
31.599586	1.000041400
31.950108	1.000042300
32.300714	1.000041900
32.651827	1.000041800
33.003258	1.000042200
33.353869	1.000041300
33.703750	1.000041700
34.054718	1.000041300
34.405165	1.000040500
34.756341	1.000043100
35.107659	1.000043100
35.458804	1.000042600
35.808640	1.000042300
36.157126	1.000042500
36.506472	1.000042200
36.857584	1.000042900
37.209131	1.000041700
37.559838	1.000040600
37.910501	1.000040200
38.261327	1.000041100
38.612506	1.000041500
38.962912	1.000041400
39.313946	1.000042700
39.664971	1.000041900
40.016646	1.000041300
40.367652	1.000041800
40.718730	1.000041400
41.068268	1.000041500
41.419500	1.000039500
41.769451	1.000039500
42.120008	1.000039400
42.470889	1.000041700
42.821725	1.000042300
43.171219	1.000043700
43.520438	1.000043800
43.870947	1.000044700
44.222218	1.000043300
44.572364	1.000042200
44.921881	1.000042500
45.272058	1.000041300
45.623123	1.000040900
45.973649	1.000041100
46.323012	1.000042200
46.672434	1.000041400
47.021326	1.000042100
47.370644	1.000041900
47.721224	1.000041500
48.070971	1.000041000
48.420212	1.000041300
48.770579	1.000041400
49.121847	1.000042200
49.472532	1.000042100
49.823673	1.000040900
50.173880	1.000042500
50.524970	1.000041900
50.876197	1.000041700
51.227896	1.000041700
51.578126	1.000041400
51.928713	1.000041500
52.279405	1.000041500
52.630662	1.000041100
52.982002	1.000042200
53.334224	1.000040300
53.685303	1.000041100
54.036930	1.000041100
54.388258	1.000042300
54.738834	1.000041800
55.089796	1.000041500
55.440863	1.000041100
55.791950	1.000041500
56.142466	1.000041800
56.493605	1.000041500
56.844621	1.000040900
57.195675	1.000042300
57.548041	1.000041900
57.898161	1.000041700
58.249075	1.000041000
58.600762	1.000041500
58.950570	1.000040200
59.299739	1.000040900
59.649021	1.000041000
59.999618	1.000042500
60.351069	1.000042100
