# DAC port 0 set to 1.0 V
# DMM: Agilent 34401A, 6 NPLC
# Start: 2026-06-21T23:39:50.006748
# time_s	voltage_V
0.387240	1.000017600
0.738746	1.000018700
1.089292	1.000017800
1.439778	1.000019600
1.791408	1.000018700
2.141866	1.000017400
2.491609	1.000017400
2.841890	1.000017000
3.192807	1.000015900
3.543130	1.000016400
3.893682	1.000017000
4.244222	1.000017200
4.594747	1.000016000
4.944890	1.000018600
5.295258	1.000018400
5.644709	1.000016700
5.993924	1.000017900
6.343527	1.000017500
6.693539	1.000018000
7.043989	1.000017400
7.394766	1.000016200
7.745336	1.000017200
8.096206	1.000017100
8.446147	1.000016800
8.797256	1.000017200
9.148869	1.000018600
9.499824	1.000016700
9.850738	1.000016300
10.201883	1.000018200
10.553616	1.000017400
10.905028	1.000018000
11.256173	1.000017100
11.605911	1.000018700
11.956325	1.000017500
12.307145	1.000017900
12.657790	1.000017500
13.009768	1.000017600
13.361140	1.000016700
13.712161	1.000017500
14.063396	1.000016300
14.413649	1.000016800
14.763239	1.000017500
15.113818	1.000017000
15.465338	1.000017200
15.817127	1.000017100
16.167838	1.000017400
16.518744	1.000016800
16.870327	1.000017600
17.222140	1.000016800
17.573380	1.000015100
17.924524	1.000015400
18.276389	1.000016300
18.627120	1.000016700
18.978406	1.000017200
19.329433	1.000017600
19.680243	1.000018000
20.031640	1.000019300
20.383151	1.000018600
20.734113	1.000017200
21.085726	1.000017200
21.438074	1.000017900
21.788309	1.000018200
22.138784	1.000018800
22.490660	1.000018600
22.842180	1.000017800
23.192959	1.000017900
23.544936	1.000018800
23.896031	1.000017100
24.247002	1.000017800
24.597692	1.000017600
24.949601	1.000016800
25.301345	1.000018000
25.653033	1.000017000
26.004316	1.000016300
26.355289	1.000017600
26.706375	1.000017900
27.057218	1.000017200
27.408577	1.000018300
27.759214	1.000017500
28.109353	1.000017400
28.458788	1.000016700
28.807841	1.000016800
29.158822	1.000018300
29.510490	1.000018600
29.861427	1.000017600
30.213071	1.000016000
30.562956	1.000017100
30.913874	1.000019300
31.264949	1.000017500
31.616490	1.000018800
31.966904	1.000018700
32.317882	1.000018400
32.669762	1.000017200
33.020891	1.000019200
33.371972	1.000018700
33.723035	1.000019000
34.075116	1.000019000
34.425957	1.000017800
34.777674	1.000017600
35.128498	1.000017400
35.479523	1.000018300
35.830740	1.000018700
36.182125	1.000017800
36.533218	1.000017400
36.884099	1.000018000
37.235415	1.000018000
37.587719	1.000018400
37.939235	1.000018300
38.290578	1.000016300
38.642258	1.000017400
38.992920	1.000017500
39.344441	1.000018200
39.695748	1.000017100
40.046128	1.000017000
40.396637	1.000017200
40.748056	1.000017500
41.099848	1.000017500
41.467810	1.000017900
41.817879	1.000017500
42.168606	1.000016800
42.517200	1.000017500
42.867557	1.000017200
43.219222	1.000016800
43.568976	1.000017500
43.918932	1.000016700
44.270434	1.000016400
44.621154	1.000017500
44.972256	1.000017500
45.323681	1.000016300
45.673637	1.000018000
46.024343	1.000017600
46.376435	1.000018300
46.727539	1.000017200
47.078556	1.000017200
47.428661	1.000018300
47.779158	1.000017800
48.130073	1.000018700
48.481778	1.000018200
48.833465	1.000018000
49.184726	1.000016600
49.535743	1.000017500
49.887837	1.000017800
50.240143	1.000018300
50.591228	1.000019200
50.942679	1.000018400
51.293136	1.000018400
51.643925	1.000019200
51.994711	1.000018300
52.346001	1.000016300
52.697090	1.000017200
53.048260	1.000017100
53.399553	1.000017400
53.750900	1.000018800
54.102693	1.000017000
54.453879	1.000018200
54.805015	1.000017100
55.156529	1.000016400
55.507677	1.000015900
55.858509	1.000017500
56.210403	1.000017000
56.561333	1.000017800
56.912760	1.000017900
57.263617	1.000018300
57.614247	1.000019100
57.965178	1.000019100
58.316691	1.000019300
58.668613	1.000018800
59.019556	1.000018400
59.370824	1.000019000
59.721604	1.000018300
60.072667	1.000018700
