# DAC port 5 set to 1.0 V
# DMM: Agilent 34401A, 6 NPLC
# Start: 2026-06-22T21:48:16.488312
# time_s	voltage_V
0.387270	1.000050300
0.737493	1.000049400
1.087962	1.000049000
1.438052	1.000050800
1.788170	1.000049800
2.138724	1.000049400
2.489016	1.000048800
2.839251	1.000048200
3.189491	1.000049600
3.539800	1.000049100
3.890099	1.000049200
4.240073	1.000048700
4.589756	1.000049000
4.940335	1.000048200
5.290684	1.000048200
5.640514	1.000048200
5.990783	1.000048200
6.341169	1.000048600
6.691379	1.000048200
7.041511	1.000047200
7.391526	1.000048200
7.741128	1.000047500
8.090720	1.000048200
8.440236	1.000047900
8.790232	1.000047200
9.140272	1.000047600
9.490156	1.000046800
9.839868	1.000047400
10.189972	1.000047900
10.540005	1.000046700
10.891076	1.000047600
11.241379	1.000046800
11.591663	1.000048700
11.941880	1.000048200
12.293058	1.000048400
12.642891	1.000049000
12.993354	1.000048200
13.343590	1.000049400
13.694051	1.000050400
14.044212	1.000050000
14.394863	1.000049200
14.745018	1.000049100
15.095229	1.000049000
15.445445	1.000045600
15.795537	1.000045600
16.145577	1.000046800
16.495534	1.000045800
16.846159	1.000045800
17.196330	1.000046800
17.546350	1.000047200
17.896389	1.000045600
18.246819	1.000046400
18.597073	1.000048400
18.947159	1.000047000
19.297303	1.000043100
19.646495	1.000042600
19.995662	1.000044200
20.346011	1.000046700
20.694904	1.000047400
21.044016	1.000047000
21.393803	1.000048300
21.744190	1.000048600
22.094597	1.000046700
22.445146	1.000048000
22.795295	1.000047600
23.145214	1.000048700
23.495241	1.000048800
23.845587	1.000048600
24.195693	1.000048600
24.545296	1.000049600
24.894538	1.000046700
25.244445	1.000048200
25.594138	1.000047600
25.944178	1.000048300
26.295241	1.000048600
26.645592	1.000048200
26.995918	1.000049100
27.345923	1.000048300
27.696022	1.000048000
28.046454	1.000047900
28.397466	1.000047100
28.747869	1.000047800
29.098827	1.000046300
29.448359	1.000046200
29.797724	1.000045400
30.147937	1.000045400
30.498538	1.000045500
30.848650	1.000044700
31.198723	1.000043300
31.548975	1.000042700
31.899347	1.000044100
32.249608	1.000044600
32.600308	1.000043900
32.950291	1.000043000
33.300473	1.000043300
33.650866	1.000043700
34.000719	1.000045000
34.349975	1.000043800
34.699474	1.000044700
35.049766	1.000046400
35.399749	1.000047000
35.749481	1.000047000
36.098874	1.000046000
36.449952	1.000045400
36.800298	1.000045400
37.150107	1.000047100
37.500337	1.000046000
37.850501	1.000047000
38.199942	1.000048000
38.549462	1.000048300
38.899263	1.000048600
39.249172	1.000048400
39.599257	1.000046800
39.949711	1.000044300
40.299674	1.000044600
40.650070	1.000046700
41.000279	1.000047400
41.350677	1.000047000
41.700855	1.000047100
42.050922	1.000047200
42.401672	1.000046200
42.751428	1.000047200
43.101284	1.000047200
43.450935	1.000047100
43.800746	1.000047100
44.150800	1.000046700
44.501042	1.000046300
44.851055	1.000048700
45.201150	1.000046400
45.551890	1.000047400
45.902213	1.000048300
46.252122	1.000048200
46.602266	1.000048400
46.952632	1.000047100
47.302933	1.000048400
47.653202	1.000048400
48.003350	1.000047600
48.353262	1.000047900
48.703491	1.000047500
49.053536	1.000046300
49.403305	1.000047500
49.753377	1.000047100
50.103420	1.000047200
50.454114	1.000047900
50.804015	1.000048000
51.154171	1.000047100
51.503962	1.000047900
51.853701	1.000047000
52.218718	1.000048300
52.596578	1.000046300
52.944828	1.000047400
53.294081	1.000047100
53.644501	1.000046200
53.994139	1.000045800
54.344201	1.000045900
54.704689	1.000044500
55.055072	1.000045000
55.404497	1.000044200
55.754721	1.000044500
56.112162	1.000043500
56.462795	1.000043100
56.812383	1.000042700
57.162085	1.000043300
57.512095	1.000043400
57.860994	1.000044500
58.212053	1.000044100
58.563187	1.000043700
58.931811	1.000044500
59.281412	1.000044600
59.630280	1.000044300
59.979025	1.000045600
60.328347	1.000045600
