# DAC port 6 set to 1.0 V
# DMM: Agilent 34401A, 6 NPLC
# Start: 2026-06-22T21:52:49.086568
# time_s	voltage_V
0.388646	1.000046000
0.739910	1.000046800
1.091361	1.000047400
1.442276	1.000047800
1.793066	1.000046700
2.143525	1.000043800
2.493537	1.000046300
2.842461	1.000045600
3.192537	1.000047900
3.543195	1.000048700
3.893588	1.000048700
4.243397	1.000046400
4.592517	1.000047100
4.941745	1.000046300
5.291548	1.000045400
5.642187	1.000045900
5.992586	1.000043300
6.342350	1.000043700
6.692578	1.000043900
7.043009	1.000044200
7.393235	1.000043100
7.743748	1.000043100
8.093916	1.000044100
8.444852	1.000043800
8.795519	1.000043700
9.145768	1.000043300
9.495717	1.000043900
9.845858	1.000045000
10.196541	1.000045200
10.547050	1.000044900
10.896647	1.000044500
11.246572	1.000044600
11.596734	1.000044700
11.947155	1.000044500
12.297666	1.000045100
12.648187	1.000044700
12.999245	1.000044100
13.350072	1.000045200
13.701793	1.000045800
14.053134	1.000046200
14.404383	1.000045100
14.755076	1.000045600
15.104067	1.000045600
15.455024	1.000044500
15.805080	1.000045600
16.155100	1.000044900
16.504987	1.000045200
16.854434	1.000044900
17.205045	1.000045500
17.556634	1.000046300
17.908266	1.000045800
18.259329	1.000045500
18.610573	1.000045900
18.960788	1.000045600
19.310964	1.000044900
19.661045	1.000044600
20.011052	1.000045400
20.360876	1.000043900
20.711378	1.000043400
21.062072	1.000045500
21.412083	1.000043500
21.762074	1.000044300
22.112378	1.000043700
22.462579	1.000046200
22.813581	1.000043800
23.164277	1.000044200
23.515859	1.000045600
23.866756	1.000045800
24.217791	1.000045800
24.568962	1.000045500
24.919163	1.000047100
25.269032	1.000045500
25.619590	1.000042600
25.970550	1.000041900
26.321862	1.000045200
26.671920	1.000046600
27.020099	1.000046400
27.368575	1.000047600
27.717787	1.000050600
28.068618	1.000049100
28.420569	1.000049200
28.770470	1.000048200
29.121693	1.000047800
29.472432	1.000049500
29.823756	1.000048800
30.175020	1.000047400
30.526154	1.000047600
30.876811	1.000048200
31.226827	1.000046700
31.576909	1.000047200
31.927053	1.000046200
32.277255	1.000045900
32.626803	1.000046600
32.975862	1.000045100
33.325184	1.000046200
33.675623	1.000045500
34.026242	1.000047100
34.376302	1.000045900
34.727010	1.000045800
35.077296	1.000046000
35.427319	1.000045600
35.777312	1.000046000
36.127701	1.000045200
36.477931	1.000045500
36.828270	1.000046400
37.178799	1.000046400
37.528705	1.000045900
37.877653	1.000045600
38.226525	1.000046000
38.576476	1.000045100
38.927243	1.000045100
39.277153	1.000045900
39.627283	1.000046600
39.977218	1.000045600
40.327138	1.000044300
40.677794	1.000045500
41.028060	1.000045500
41.378671	1.000045900
41.728645	1.000045100
42.078801	1.000044900
42.428963	1.000044600
42.780158	1.000045600
43.130335	1.000044100
43.479898	1.000043900
43.829250	1.000043800
44.178735	1.000043400
44.528839	1.000044500
44.878586	1.000043900
45.227599	1.000044100
45.578408	1.000043700
45.928391	1.000042500
46.278237	1.000043000
46.627830	1.000043500
46.978053	1.000043300
47.327862	1.000044100
47.677626	1.000043800
48.027696	1.000044600
48.377839	1.000044100
48.727339	1.000045000
49.076579	1.000044600
49.426729	1.000045400
49.776610	1.000045000
50.126798	1.000044500
50.477053	1.000045400
50.826594	1.000044900
51.176183	1.000043900
51.526719	1.000044700
51.877212	1.000044600
52.227413	1.000045000
52.577489	1.000044700
52.928232	1.000045400
53.278305	1.000045100
53.628906	1.000044200
53.979391	1.000044700
54.329359	1.000046700
54.679526	1.000045400
55.030302	1.000045400
55.381353	1.000044500
55.732446	1.000045000
56.083369	1.000044200
56.433713	1.000043700
56.784516	1.000043800
57.135231	1.000043900
57.486073	1.000042300
57.836725	1.000042900
58.188298	1.000042500
58.539926	1.000041900
58.890376	1.000041700
59.241138	1.000041700
59.591804	1.000042600
59.942847	1.000042900
60.293073	1.000041700
