# DAC port 0 set to 1.0 V
# DMM: Agilent 34401A, 6 NPLC
# Start: 2026-06-21T23:46:05.043255
# time_s	voltage_V
0.387848	1.000021700
0.739114	1.000020900
1.091864	1.000021300
1.442870	1.000021500
1.794669	1.000021200
2.146115	1.000020700
2.496783	1.000021300
2.847479	1.000019200
3.197858	1.000021700
3.548600	1.000019600
3.898825	1.000020700
4.250339	1.000020800
4.601444	1.000020800
4.953682	1.000020800
5.304852	1.000020100
5.654808	1.000019700
6.004929	1.000021200
6.355868	1.000021600
6.706543	1.000020300
7.058285	1.000020100
7.409570	1.000019200
7.761323	1.000020100
8.112654	1.000019000
8.463879	1.000019300
8.815677	1.000019300
9.166729	1.000018800
9.517713	1.000020700
9.868667	1.000020000
10.220322	1.000020300
10.570642	1.000020500
10.921313	1.000019700
11.270849	1.000020800
11.621587	1.000019600
11.972814	1.000019000
12.322534	1.000020000
12.671666	1.000019900
13.022341	1.000018400
13.373473	1.000018400
13.724516	1.000019600
14.075965	1.000018800
14.427509	1.000019700
14.779004	1.000018700
15.130448	1.000019600
15.481702	1.000019900
15.831842	1.000020500
16.183041	1.000019700
16.533358	1.000019600
16.884422	1.000020100
17.235927	1.000019900
17.585526	1.000020000
17.934720	1.000019600
18.285177	1.000018800
18.635611	1.000020100
18.987413	1.000019300
19.338507	1.000019000
19.688542	1.000019300
20.037992	1.000019500
20.388678	1.000019000
20.739257	1.000019200
21.091099	1.000019000
21.442633	1.000019500
21.794470	1.000020100
22.145702	1.000018400
22.497070	1.000018800
22.848288	1.000019100
23.199261	1.000019500
23.550366	1.000020400
23.900861	1.000019200
24.251850	1.000017900
24.602065	1.000019200
24.952095	1.000018600
25.303136	1.000018200
25.654467	1.000019100
26.005655	1.000018600
26.357636	1.000018600
26.709034	1.000019200
27.061063	1.000018600
27.412001	1.000018000
27.763082	1.000018700
28.114284	1.000020300
28.464774	1.000020000
28.814862	1.000019200
29.166567	1.000019600
29.517979	1.000018700
29.868854	1.000017400
30.219981	1.000018200
30.571267	1.000018700
30.922293	1.000017800
31.272789	1.000018800
31.623944	1.000019900
31.975724	1.000017600
32.327025	1.000018300
32.678766	1.000019500
33.030103	1.000019100
33.382101	1.000020000
33.732879	1.000019200
34.084278	1.000018000
34.435401	1.000018000
34.786685	1.000018800
35.138850	1.000018200
35.490222	1.000018800
35.839955	1.000018300
36.191004	1.000018600
36.541810	1.000019300
36.911225	1.000017800
37.263432	1.000017900
37.614893	1.000017900
37.965411	1.000017800
38.315021	1.000018000
38.664820	1.000017600
39.015377	1.000018600
39.365905	1.000018700
39.717304	1.000017800
40.068209	1.000019000
40.419545	1.000019100
40.769950	1.000019600
41.119396	1.000019100
41.469937	1.000019000
41.820663	1.000019700
42.171628	1.000019200
42.521277	1.000018700
42.870553	1.000018700
43.220301	1.000019600
43.570532	1.000019200
43.921497	1.000018400
44.272798	1.000017900
44.624405	1.000018800
44.975846	1.000019500
45.327847	1.000019500
45.679503	1.000019200
46.030951	1.000020400
46.380763	1.000020800
46.730354	1.000020100
47.080661	1.000019100
47.431465	1.000019600
47.783007	1.000018200
48.133651	1.000018700
48.485013	1.000019600
48.835712	1.000018800
49.187036	1.000019200
49.539234	1.000018300
49.891144	1.000019100
50.241243	1.000018700
50.590082	1.000019300
50.939576	1.000019500
51.291745	1.000017800
51.642271	1.000017900
51.992866	1.000018400
52.344100	1.000019000
52.695483	1.000018700
53.045222	1.000019300
53.396261	1.000019000
53.747061	1.000020000
54.097681	1.000018600
54.448511	1.000018800
54.798845	1.000019000
55.150451	1.000017500
55.501671	1.000018700
55.853407	1.000018600
56.203636	1.000018700
56.554642	1.000018300
56.906194	1.000017800
57.255920	1.000018700
57.605791	1.000018300
57.955207	1.000018400
58.306122	1.000018200
58.655888	1.000019300
59.006133	1.000018600
59.357710	1.000018200
59.709524	1.000019300
60.061011	1.000018800
