# DAC port 2 set to 1.0 V
# DMM: Agilent 34401A, 6 NPLC
# Start: 2026-06-21T23:53:22.614551
# time_s	voltage_V
0.386537	1.000039100
0.736867	1.000039300
1.088561	1.000040500
1.439935	1.000039900
1.791437	1.000040200
2.141942	1.000039500
2.491562	1.000040600
2.841175	1.000040200
3.192377	1.000039800
3.543226	1.000040500
3.892390	1.000040900
4.241611	1.000040300
4.592772	1.000039500
4.943689	1.000039500
5.294336	1.000038900
5.646077	1.000040300
5.997142	1.000039500
6.348160	1.000040900
6.699574	1.000041500
7.051169	1.000040600
7.403078	1.000040900
7.754388	1.000041100
8.105847	1.000041700
8.457266	1.000039500
8.808068	1.000040700
9.158183	1.000039700
9.508544	1.000040100
9.859748	1.000040600
10.209141	1.000039500
10.559463	1.000039800
10.910088	1.000040500
11.261320	1.000040500
11.612973	1.000040900
11.964447	1.000041400
12.315739	1.000040900
12.666910	1.000038600
13.017180	1.000039900
13.366727	1.000040600
13.717417	1.000041400
14.068802	1.000041000
14.420305	1.000040900
14.771688	1.000041400
15.121980	1.000041300
15.473301	1.000041300
15.825047	1.000039700
16.175522	1.000039300
16.526655	1.000040700
16.878153	1.000040100
17.229248	1.000039100
17.581081	1.000039900
17.931648	1.000040900
18.282516	1.000040200
18.633358	1.000038900
18.984570	1.000039900
19.335955	1.000039300
19.686390	1.000040900
20.036061	1.000038900
20.386431	1.000039100
20.737988	1.000039700
21.089331	1.000039000
21.440179	1.000039700
21.791223	1.000039100
22.141343	1.000040200
22.492612	1.000040200
22.842533	1.000040300
23.191866	1.000039700
23.540796	1.000038700
23.890859	1.000039500
24.241511	1.000039900
24.591842	1.000038500
24.941854	1.000038900
25.291214	1.000039400
25.641812	1.000038500
25.992568	1.000039100
26.343386	1.000039500
26.694710	1.000039000
27.045501	1.000039400
27.396363	1.000040600
27.748147	1.000039100
28.099601	1.000038200
28.450999	1.000039500
28.802554	1.000040100
29.153217	1.000037700
29.504107	1.000039900
29.855969	1.000041300
30.205943	1.000039700
30.555882	1.000038700
30.906755	1.000038900
31.257869	1.000039500
31.608613	1.000038600
31.959659	1.000040100
32.309564	1.000041400
32.658659	1.000040700
33.008220	1.000040100
33.359850	1.000039700
33.709813	1.000040700
34.058380	1.000039800
34.407755	1.000038700
34.758386	1.000035000
35.108658	1.000036600
35.457569	1.000038700
35.806445	1.000040300
36.154874	1.000041000
36.505314	1.000040500
36.856120	1.000040500
37.207048	1.000041700
37.558333	1.000041900
37.908873	1.000041100
38.259127	1.000041100
38.609802	1.000040100
38.960957	1.000040200
39.311805	1.000040900
39.663103	1.000039900
40.014099	1.000040700
40.365286	1.000039100
40.716844	1.000039800
41.068382	1.000039800
41.420302	1.000039800
41.771454	1.000039300
42.122700	1.000037900
42.473522	1.000039700
42.825144	1.000040500
43.175772	1.000039800
43.527016	1.000040500
43.876860	1.000039500
44.225348	1.000039900
44.573985	1.000040700
44.924546	1.000039300
45.275245	1.000039500
45.626313	1.000039700
45.977221	1.000040100
46.328405	1.000039800
46.679176	1.000039400
47.028726	1.000040100
47.379675	1.000038500
47.731536	1.000039000
48.083176	1.000038600
48.434364	1.000039500
48.785530	1.000038900
49.135245	1.000039000
49.485511	1.000039700
49.836406	1.000040100
50.186548	1.000038300
50.538326	1.000038600
50.889863	1.000038300
51.240143	1.000039300
51.590185	1.000039100
51.940681	1.000037800
52.291826	1.000038600
52.642550	1.000039500
52.993925	1.000038500
53.345040	1.000039900
53.696504	1.000039400
54.048573	1.000038600
54.399924	1.000038500
54.750915	1.000038300
55.102375	1.000038100
55.453853	1.000037000
55.805661	1.000038200
56.156912	1.000038900
56.507706	1.000038600
56.857139	1.000038900
57.206859	1.000038900
57.558553	1.000038300
57.909488	1.000039700
58.260420	1.000038900
58.611052	1.000038600
58.962418	1.000038500
59.313883	1.000040300
59.665092	1.000038500
60.016935	1.000038100
