# DAC port 0 set to 0.1 V
# DMM: Agilent 34401A, 100 NPLC
# Start: 2026-06-21T23:25:34.692776
# time_s	voltage_V
3.374634	0.099982757
6.705053	0.099982843
10.036971	0.099981305
13.368693	0.099983574
16.699964	0.099982774
20.032249	0.099982324
23.364340	0.099982413
26.696889	0.099983250
30.028457	0.099982652
33.359709	0.099982376
36.690742	0.099982637
40.021668	0.099982267
43.353148	0.099982380
46.684503	0.099982627
50.014850	0.099982368
53.345663	0.099982719
56.676914	0.099983282
60.006942	0.099983047
